@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
33.0, 1.0, 36.0, 2.0, 2.0, 8.421, 0.4096, 5.218, 4.0, 0.4834, 0.0276, 0.1057, 0.2429, 0.5272, 4.978, 0.1692, 0.009453, 3.0, 0.3276, 0.268, 0.03342, 0.02306, 0.4, 7.318, 1.658, 146.0, 0.03021, 0.3333, 1.0, 0.0, 243.2, 0.05366, 0.1829, 0.2427, 0.5207, 1.116
47.0, 0.0, 52.0, 6.0, 2.0, 8.887, -0.1775, 5.638, 2.0, 0.3583, 0.1087, 0.1394, 0.3614, 0.4514, 4.628, 0.1838, 0.1518, 5.0, 0.4901, 0.5962, 0.0436, 0.01741, 0.3, 7.662, 4.718, 83.0, 0.02161, 0.2857, 1.0, 0.0, 225.1, 0.08843, 0.1599, 0.0762, 0.6754, 5.899
37.0, 0.0, 38.0, 3.0, 2.0, 9.821, 0.1941, 4.855, 2.0, 0.4073, 0.03402, 0.1567, 0.3671, 0.4486, 4.408, 0.1632, 0.1569, 3.0, 0.2145, 0.3594, 0.251, 0.01613, 0.1667, 9.106, 3.413, 124.0, 0.02348, 0.2, 1.0, 0.0, 334.5, 0.1219, 0.2462, 0.1598, 0.4722, 4.115
67.0, 0.0, 79.0, 3.0, 2.0, 12.57, -0.1513, 6.352, 2.0, 0.3842, 0.02636, 0.106, 0.3634, 0.4649, 4.786, 0.2225, 0.2842, 2.0, 0.4543, 0.5606, 0.0784, 0.02531, 0.3, 11.33, 3.298, 88.0, 0.02412, 0.3636, 1.0, 0.0, 496.5, 0.1747, 0.1407, 0.1354, 0.5492, 3.078
47.0, 0.0, 52.0, 2.0, 2.0, 9.903, 0.132, 5.263, 7.0, 0.5497, 0.1264, 0.1252, 0.1718, 0.2008, 3.345, 0.2507, 0.4152, 3.0, 0.5361, 0.4809, 0.01104, 0.02567, 0.25, 6.892, 2.023, 55.0, 0.03938, 0.5, 1.0, 0.0, 295.1, 0.05813, 0.2372, 0.2404, 0.4643, 2.254
57.0, 0.0, 57.0, 3.0, 2.0, 9.994, -0.02679, 5.5, 2.0, 0.3491, 0.04495, 0.178, 0.3947, 0.401, 5.565, 0.1944, 0.2301, 2.0, 0.7498, 0.8086, 0.02783, 0.02743, 0.6, 6.826, 2.927, 74.0, 0.02893, 0.25, 1.0, 0.0, 394.3, 0.1413, 0.188, 0.2553, 0.4153, 4.182
46.0, 1.0, 57.0, 4.0, 2.0, 12.66, -0.348, 5.101, 1.0, 0.335, 0.06247, 0.2963, 0.4986, 0.4434, 3.949, 0.2128, 0.2542, 4.0, 0.5438, 0.5803, 0.02274, 0.02017, 0.4, 6.816, 3.419, 58.0, 0.02431, 0.4286, 1.0, 0.0, 488.2, 0.06574, 0.1337, 0.09248, 0.7081, 1.571
57.0, 0.0, 63.0, 6.0, 1.0, 11.6, 0.005944, 5.463, 3.0, 0.499, 0.00789, 0.04668, 0.1466, 0.4977, 7.14, 0.1181, 0.1367, 3.0, 0.3206, 0.5246, 0.03534, 0.01725, 0.25, 8.945, 3.424, 69.0, 0.02257, 0.1667, 1.0, 0.0, 376.9, 0.04147, 0.1618, 0.09054, 0.7062, 0.9589
50.0, 0.0, 59.0, 4.0, 2.0, 10.6, 0.315, 5.213, 2.0, 0.4344, 0.1453, 0.1678, 0.3441, 0.302, 4.253, 0.2632, 0.4565, 2.0, 0.6787, 0.4156, 0.0, 0.01758, 0.2857, 7.123, 2.277, 41.0, 0.02592, 0.6, 1.0, 0.0, 358.5, 0.03202, 0.1008, 0.08098, 0.7863, 1.919
73.0, 0.0, 84.0, 4.0, 2.0, 13.59, 0.2956, 5.797, 2.0, 0.412, 0.02956, 0.1305, 0.3297, 0.3669, 4.353, 0.244, 0.3779, 2.0, 0.3442, 0.3614, 0.1612, 0.02091, 0.375, 15.65, 4.534, 130.0, 0.02006, 0.2, 1.0, 0.0, 544.9, 0.1652, 0.249, 0.06654, 0.5193, 2.753
