@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
71.0, 0.0, 74.0, 4.0, 2.0, 11.49, 0.02469, 5.85, 3.0, 0.5581, 0.02876, 0.03031, 0.08045, 0.5914, 3.42, 0.1228, 0.1818, 4.0, 0.2493, 0.2786, 0.1149, 0.01578, 0.3, 11.24, 5.621, 78.0, 0.01923, 0.2857, 1.0, 0.0, 0.0, 0.3333, 0.2236, 0.03241, 0.4106, 12.42
72.0, 0.0, 77.0, 4.0, 2.0, 11.53, 0.03457, 5.847, 12.0, 0.5853, 0.04264, 0.04264, 0.12, 0.3615, 3.24, 0.1464, 0.233, 4.0, 0.2849, 0.4086, 0.1296, 0.01592, 0.3, 9.723, 4.609, 67.0, 0.02125, 0.2857, 1.0, 0.0, 1138.0, 0.2777, 0.176, 0.03086, 0.5154, 0.978
78.0, 0.0, 96.0, 5.0, 1.0, 12.74, -0.01873, 6.061, 3.0, 0.4699, 0.01615, 0.07021, 0.1816, 0.5716, 5.524, 0.221, 0.2755, 2.0, 0.2669, 0.361, 0.1411, 0.01136, 0.2857, 9.095, 4.376, 54.0, 0.01744, 0.3333, 1.0, 0.0, 0.0, 0.2261, 0.2203, 0.03795, 0.5157, 10.14
78.0, 0.0, 77.0, 5.0, 1.0, 12.81, 0.01069, 5.977, 2.0, 0.47, 0.0331, 0.08845, 0.2352, 0.4497, 4.852, 0.2178, 0.2654, 10.0, 0.2693, 0.375, 0.1368, 0.01164, 0.3333, 10.18, 4.525, 61.0, 0.01683, 0.2857, 1.0, 0.0, 1872.0, 0.2134, 0.1779, 0.04607, 0.5626, 1.828
78.0, 0.0, 77.0, 3.0, 2.0, 16.31, 0.0258, 5.316, 27.0, 0.1246, 2.953E-4, 0.001477, 0.002363, 0.9713, 5.486, 0.009494, 0.006735, 1.0, 0.2527, 0.08972, 0.02427, 0.02285, 0.2, 20.88, 3.055, 40.0, 0.01992, 0.3077, 1.0, 0.0, 0.0, 0.9416, 0.02379, 6.022E-4, 0.03403, 5.884
78.0, 0.0, 79.0, 3.0, 2.0, 16.32, 0.02813, 5.314, 3.0, 0.4477, 0.01651, 0.1267, 0.2497, 0.5163, 5.303, 0.001233, 0.0, 3.0, 0.2535, 0.08679, 0.003365, 0.02376, 0.3, 21.23, 2.665, 159.0, 0.02066, 0.1538, 1.0, 0.0, 1823.0, 0.972, 0.001785, 0.0, 0.02618, 0.9291
59.0, 0.0, 61.0, 4.0, 1.0, 12.36, -0.2718, 5.541, 1.0, 0.3669, 0.001538, 0.2246, 0.3723, 0.4892, 6.783, 0.1689, 0.0, 3.0, 0.5745, 0.259, 0.01391, 0.03481, 0.4, 9.662, 2.161, 119.0, 0.02725, 0.125, 1.0, 0.0, 91.92, 0.1466, 0.1782, 0.454, 0.2213, 0.4693
43.0, 1.0, 52.0, 4.0, 2.0, 7.399, -0.6341, 7.377, 7.0, 0.517, 0.02746, 0.04847, 0.1341, 0.1661, 2.795, 0.2252, 0.4044, 2.0, 0.3339, 0.4345, 0.02416, 0.02085, 0.375, 13.5, 4.354, 82.0, 0.02942, 0.4, 1.0, 0.0, 632.2, 0.04497, 0.142, 0.1053, 0.7077, 0.2669
51.0, 0.0, 61.0, 4.0, 2.0, 12.28, -0.6729, 5.956, 2.0, 0.4525, 0.08707, 0.1201, 0.3615, 0.3548, 3.845, 0.198, 0.3456, 4.0, 0.9325, 0.3482, 0.02564, 0.03812, 0.6667, 15.91, 2.854, 92.0, 0.03077, 0.75, 1.0, 0.0, 139.6, 0.1071, 0.07959, 0.1274, 0.686, 0.8097
49.0, 1.0, 60.0, 3.0, 2.0, 11.66, -0.1805, 5.426, 2.0, 0.4921, 0.07277, 0.1433, 0.3533, 0.4417, 4.125, 0.1556, 0.2813, 3.0, 0.6485, 0.483, 0.02365, 0.02575, 0.3, 10.11, 3.444, 114.0, 0.0272, 0.2222, 1.0, 0.0, 389.8, 0.1775, 0.1914, 0.05954, 0.5715, 3.839
54.0, 2.0, 74.0, 3.0, 2.0, 10.11, -0.5869, 5.941, 3.0, 0.5629, 0.1164, 0.09488, 0.2224, 0.2345, 3.269, 0.1276, 0.203, 5.0, 0.7707, 0.5504, 0.05375, 0.03159, 0.4, 9.092, 3.286, 50.0, 0.03234, 0.6, 1.0, 0.0, 546.4, 0.1894, 0.1237, 0.09154, 0.5954, 2.535
48.0, 0.0, 55.0, 3.0, 2.0, 10.71, -0.1512, 5.53, 2.0, 0.3785, 0.03271, 0.2298, 0.4805, 0.4412, 4.649, 0.2229, 0.2758, 2.0, 0.8122, 0.4614, 0.0, 0.02695, 0.6, 5.678, 1.25, 83.0, 0.03212, 0.5, 1.0, 0.0, 356.8, 0.07177, 0.08281, 0.1207, 0.7248, 5.024
32.0, 3.0, 55.0, 2.0, 2.0, 9.184, 0.1904, 6.321, 12.0, 0.5169, 0.002825, 0.0678, 0.2429, 0.2748, 2.34, 0.185, 0.1856, 2.0, 0.5141, 0.3243, 0.03352, 0.03026, 0.2, 13.93, 4.483, 53.0, 0.02966, 0.2, 1.0, 0.0, 336.6, 0.0, 0.05, 0.01667, 0.9333, 2.107
18.0, 4.0, 35.0, 2.0, 2.0, 10.23, -0.6143, 4.725, 0.0, 0.801, 0.4547, 0.02587, 0.07662, 0.2372, 2.46, 0.1318, 0.3284, 2.0, 0.2446, 0.2177, 0.248, 0.0232, 0.2, 17.5, 2.095, 64.0, 0.02812, 0.1429, 1.0, 0.0, 355.3, 0.02941, 0.3281, 0.1154, 0.5271, 9.258
48.0, 0.0, 50.0, 4.0, 3.0, 10.41, -0.2669, 5.425, 2.0, 0.4306, 0.1182, 0.1746, 0.3677, 0.2399, 3.28, 0.1441, 0.1622, 1.0, 0.4775, 0.7793, 0.3694, 0.04456, 1.0, 3.696, 1.352, 98.0, 0.05459, 1.0, 1.0, 0.0, 266.8, 0.1429, 0.1323, 0.2328, 0.4921, 2.064
41.0, 0.0, 60.0, 4.0, 2.0, 11.95, 0.1113, 6.117, 2.0, 0.3511, 0.04213, 0.1404, 0.4522, 0.2727, 3.846, 0.2144, 0.3982, 6.0, 1.284, 0.9576, 0.0415, 0.03256, 0.4, 2.611, 1.382, 56.0, 0.05001, 1.0, 1.0, 0.0, 74.94, 0.06077, 0.1298, 0.09945, 0.7099, 1.735
56.0, 2.0, 76.0, 3.0, 2.0, 10.81, 0.7506, 9.429, 12.0, 0.5834, 7.22E-4, 0.04982, 0.1126, 0.4877, 2.264, 0.1895, 0.1959, 2.0, 0.4322, 0.9086, 0.0, 0.02431, 0.3, 8.18, 4.267, 66.0, 0.02571, 0.3333, 1.0, 0.0, 594.1, 0.0154, 0.04021, 0.02823, 0.9162, 0.2672
53.0, 0.0, 72.0, 3.0, 2.0, 12.63, 0.2531, 5.576, 1.0, 0.389, 0.05237, 0.3167, 0.5037, 0.3053, 3.044, 0.1316, 0.3478, 3.0, 1.062, 1.104, 0.266, 0.03772, 0.6667, 3.979, 2.266, 90.0, 0.04192, 0.6667, 1.0, 0.0, 86.45, 0.2083, 0.1094, 0.06771, 0.6146, 0.8513
75.0, 0.0, 76.0, 2.0, 2.0, 17.85, 0.1943, 4.952, 1.0, 0.5031, 0.05192, 0.1483, 0.225, 0.3468, 3.196, 0.1007, 0.1663, 2.0, 0.5076, 0.6315, 0.09299, 0.02292, 0.3333, 22.22, 10.3, 69.0, 0.02319, 0.25, 1.0, 0.0, 440.4, 0.3889, 0.1202, 0.1202, 0.3708, 0.9316
55.0, 0.0, 64.0, 3.0, 2.0, 11.85, 0.2298, 5.628, 12.0, 0.6058, 0.01165, 0.05049, 0.1126, 0.3536, 3.088, 0.11, 0.13, 1.0, 0.5629, 0.8313, 0.1653, 0.02184, 0.3333, 5.406, 5.105, 154.0, 0.02784, 0.5, 1.0, 0.0, 187.0, 0.1126, 0.2121, 0.2814, 0.3939, 1.416
62.0, 0.0, 73.0, 3.0, 2.0, 15.86, -0.1025, 5.147, 1.0, 0.4427, 0.001101, 0.2687, 0.3359, 0.3506, 3.214, 0.2089, 0.1961, 2.0, 0.258, 0.2427, 0.4439, 0.0249, 0.6, 24.67, 7.555, 144.0, 0.02217, 0.5, 1.0, 0.0, 328.6, 0.3788, 0.1786, 0.05296, 0.3896, 6.192
44.0, 3.0, 73.0, 2.0, 2.0, 14.58, 1.235, 6.342, 1.0, 0.2937, 0.03163, 0.387, 0.5392, 0.3561, 2.956, 0.03672, 0.08235, 2.0, 0.1663, 0.05956, 0.5184, 0.02035, 0.4, 17.66, 10.38, 60.0, 0.02035, 0.4, 1.0, 0.0, 288.4, 0.147, 0.2242, 0.02475, 0.6041, 1.233
25.0, 4.0, 60.0, 2.0, 2.0, 10.87, -0.6612, 5.442, 2.0, 0.5669, 0.1496, 0.07677, 0.3524, 0.3171, 3.134, 0.1928, 0.2799, 2.0, 1.33, 1.321, 0.0493, 0.02966, 0.6667, 6.149, 2.43, 42.0, 0.02934, 0.6667, 1.0, 0.0, 75.11, 0.04147, 0.08602, 0.03379, 0.8387, 0.6097
52.0, 0.0, 63.0, 6.0, 2.0, 11.6, 0.07684, 5.169, 1.0, 0.4196, 0.0258, 0.1722, 0.2967, 0.3964, 4.954, 0.1582, 0.2213, 7.0, 0.5812, 0.4262, 0.01938, 0.02764, 0.6, 8.32, 2.417, 41.0, 0.02765, 0.6, 1.0, 0.0, 285.6, 0.04384, 0.2901, 0.1922, 0.4739, 0.273
49.0, 1.0, 60.0, 5.0, 2.0, 10.53, 0.158, 5.615, 5.0, 0.4662, 0.01469, 0.0284, 0.1391, 0.4791, 3.647, 0.1099, 0.1727, 2.0, 0.3789, 0.5016, 0.02757, 0.02387, 0.3, 12.78, 4.397, 65.0, 0.02687, 0.375, 1.0, 0.0, 243.1, 0.06787, 0.108, 0.2715, 0.5526, 0.8507
50.0, 1.0, 73.0, 2.0, 2.0, 11.01, -0.5053, 5.634, 7.0, 0.5238, 0.04295, 0.05509, 0.1457, 0.4371, 5.018, 0.06828, 0.03005, 2.0, 0.5614, 0.4571, 0.01178, 0.03466, 0.4, 5.602, 1.392, 43.0, 0.0389, 0.75, 1.0, 0.0, 318.0, 0.09532, 0.6482, 0.1161, 0.1404, 0.2351
52.0, 1.0, 63.0, 2.0, 2.0, 10.24, -0.04539, 6.229, 7.0, 0.5786, 0.07032, 0.108, 0.2536, 0.4574, 3.438, 0.2393, 0.1421, 2.0, 0.7742, 0.8044, 0.07234, 0.03561, 0.6, 12.71, 3.373, 41.0, 0.02499, 0.4, 1.0, 0.0, 537.4, 0.04847, 0.142, 0.1356, 0.674, 2.34
65.0, 0.0, 76.0, 3.0, 2.0, 14.04, 0.3397, 5.423, 12.0, 0.4897, 0.02346, 0.02199, 0.09238, 0.1276, 3.371, 0.03267, 0.05417, 4.0, 0.4691, 0.3371, 0.06893, 0.02288, 0.6, 14.18, 5.576, 179.0, 0.02672, 0.25, 1.0, 0.0, 75.66, 0.4248, 0.4989, 0.007625, 0.06863, 0.6019
55.0, 0.0, 56.0, 3.0, 4.0, 12.72, -0.2057, 5.418, 2.0, 0.4299, 0.08068, 0.2214, 0.4469, 0.3276, 2.906, 0.205, 0.368, 3.0, 1.383, 1.306, 5.941E-4, 0.03114, 0.6667, 6.34, 2.981, 63.0, 0.03066, 0.6667, 1.0, 0.0, 644.4, 0.06722, 0.1256, 0.05201, 0.7552, 0.7982
81.0, 0.0, 82.0, 3.0, 2.0, 17.41, -0.1121, 5.17, 2.0, 0.4022, 0.02618, 0.1322, 0.3593, 0.378, 3.994, 0.09614, 0.2035, 2.0, 0.457, 0.5302, 0.1602, 0.02519, 0.2857, 16.71, 6.214, 66.0, 0.02503, 0.3333, 1.0, 0.0, 552.3, 0.454, 0.08162, 0.0807, 0.3837, 2.988
79.0, 0.0, 81.0, 3.0, 2.0, 16.79, -0.135, 5.267, 2.0, 0.4013, 0.07008, 0.1887, 0.4059, 0.4262, 3.898, 0.1366, 0.2686, 2.0, 0.475, 0.4333, 0.1889, 0.02584, 0.75, 16.36, 4.116, 132.0, 0.02498, 0.375, 1.0, 0.0, 784.9, 0.1779, 0.1744, 0.1883, 0.4594, 4.718
72.0, 0.0, 77.0, 2.0, 2.0, 12.8, -0.6502, 5.735, 1.0, 0.4598, 0.04123, 0.1855, 0.3204, 0.3327, 4.074, 0.1276, 0.2038, 2.0, 0.2965, 0.3561, 0.3764, 0.0243, 0.4286, 15.63, 4.09, 117.0, 0.02727, 0.1429, 1.0, 0.0, 878.9, 0.2622, 0.2601, 0.1094, 0.3683, 3.104
67.0, 1.0, 76.0, 4.0, 2.0, 11.67, -0.7434, 6.302, 0.0, 0.5827, 0.2262, 0.1011, 0.2181, 0.2392, 3.234, 0.1691, 0.2797, 2.0, 0.4278, 0.5636, 0.5, 0.03535, 0.6, 13.62, 4.365, 64.0, 0.02755, 0.375, 1.0, 0.0, 844.9, 0.1482, 0.2533, 0.2669, 0.3315, 2.543
61.0, 0.0, 70.0, 3.0, 2.0, 10.12, -0.1046, 6.583, 2.0, 0.4242, 0.07928, 0.1151, 0.3153, 0.4028, 4.114, 0.2894, 0.2137, 2.0, 0.6344, 0.4502, 0.03654, 0.03468, 0.6, 13.85, 3.959, 66.0, 0.02555, 0.3333, 1.0, 0.0, 619.4, 0.1213, 0.2054, 0.1686, 0.5048, 4.677
64.0, 0.0, 65.0, 3.0, 3.0, 13.01, -0.5726, 6.026, 2.0, 0.3902, 0.04219, 0.1649, 0.3367, 0.2779, 3.933, 0.1811, 0.3011, 5.0, 0.6584, 0.4203, 0.03656, 0.03411, 0.6, 12.28, 4.439, 174.0, 0.02857, 0.4286, 1.0, 0.0, 680.6, 0.1692, 0.3193, 0.1845, 0.327, 1.844
66.0, 0.0, 68.0, 4.0, 1.0, 13.29, 0.01656, 5.256, 2.0, 0.3747, 0.06284, 0.148, 0.3399, 0.4686, 5.027, 0.1671, 0.0928, 3.0, 0.4587, 0.3952, 0.03429, 0.02622, 0.6, 8.986, 2.946, 129.0, 0.02552, 0.4, 1.0, 0.0, 702.2, 0.1319, 0.2175, 0.1478, 0.5028, 4.772
51.0, 0.0, 55.0, 7.0, 2.0, 8.946, 0.2348, 5.555, 2.0, 0.4351, 0.08122, 0.1208, 0.3328, 0.4013, 4.175, 0.2081, 0.2223, 3.0, 0.5341, 0.6148, 0.009522, 0.02403, 0.6, 7.865, 2.621, 85.0, 0.02862, 0.5, 1.0, 0.0, 479.5, 0.02728, 0.1317, 0.07023, 0.7707, 0.3497
47.0, 0.0, 50.0, 3.0, 3.0, 8.665, -0.3176, 5.956, 1.0, 0.3581, 0.05936, 0.1932, 0.3602, 0.3567, 4.421, 0.2751, 0.3631, 3.0, 0.4013, 0.3115, 0.005375, 0.02362, 0.3, 6.61, 2.571, 102.0, 0.0381, 0.5, 1.0, 0.0, 371.1, 0.09736, 0.2182, 0.2149, 0.4695, 2.477
55.0, 0.0, 67.0, 3.0, 2.0, 9.821, 0.002225, 5.789, 2.0, 0.4853, 0.03812, 0.04534, 0.1752, 0.4505, 4.447, 0.1571, 0.1873, 3.0, 0.7198, 0.6463, 0.003244, 0.02817, 0.6, 13.63, 3.409, 68.0, 0.02182, 0.25, 1.0, 0.0, 532.3, 0.05345, 0.1626, 0.1128, 0.6711, 1.488
69.0, 0.0, 70.0, 3.0, 2.0, 14.24, 0.2618, 5.404, 12.0, 0.505, 0.0663, 0.0953, 0.2434, 0.3482, 3.418, 0.1416, 0.2204, 5.0, 0.3888, 0.3252, 0.03926, 0.02148, 0.3, 22.4, 5.983, 150.0, 0.01886, 0.2308, 1.0, 0.0, 1577.0, 0.09301, 0.07445, 0.08982, 0.7427, 1.333
64.0, 0.0, 67.0, 4.0, 3.0, 10.83, 0.09533, 5.834, 2.0, 0.2655, 7.074E-4, 0.2481, 0.5716, 0.4896, 5.371, 2.924E-4, 0.0, 2.0, 0.2506, 0.02093, 0.01916, 0.02346, 0.4, 23.74, 4.268, 60.0, 0.01884, 0.2, 1.0, 0.0, 1086.0, 0.9742, 0.01565, 0.007363, 0.002761, 1.627
66.0, 0.0, 76.0, 3.0, 1.0, 12.2, 0.276, 5.891, 12.0, 0.5922, 0.08274, 0.04039, 0.09902, 0.179, 3.133, 0.08288, 0.2636, 3.0, 0.5657, 1.209, 0.3049, 0.02585, 0.6, 9.31, 4.733, 80.0, 0.02972, 0.75, 1.0, 0.0, 748.4, 0.1745, 0.2501, 0.2653, 0.3101, 1.089
61.0, 0.0, 65.0, 6.0, 2.0, 12.03, -0.5601, 5.673, 2.0, 0.495, 0.02504, 0.1048, 0.2884, 0.3142, 3.88, 0.1438, 0.2045, 3.0, 0.5521, 0.5711, 0.02287, 0.02517, 0.3, 7.127, 2.995, 86.0, 0.03067, 0.4286, 1.0, 0.0, 729.2, 0.4477, 0.1347, 0.05943, 0.3582, 2.77
80.0, 0.0, 81.0, 2.0, 2.0, 17.8, -0.1015, 5.205, 1.0, 0.4844, 0.1425, 0.1883, 0.2806, 0.3459, 3.591, 0.1662, 0.2801, 5.0, 0.6157, 0.7427, 0.08358, 0.02871, 0.4, 13.65, 4.294, 46.0, 0.02284, 0.375, 1.0, 0.0, 1085.0, 0.1905, 0.1853, 0.04348, 0.5807, 3.059
27.0, 4.0, 32.0, 2.0, 2.0, 8.222, 0.4415, 5.073, 12.0, 0.6195, 0.01028, 0.05141, 0.1902, 0.1766, 2.296, 0.1515, 0.1567, 2.0, 0.5466, 0.374, 0.06236, 0.02081, 0.5, 6.419, 2.63, 43.0, 0.03248, 0.5, 1.0, 0.0, 135.4, 0.09707, 0.113, 0.05053, 0.7394, 0.7409
38.0, 0.0, 48.0, 3.0, 2.0, 10.7, -0.4609, 6.084, 2.0, 0.3117, 0.06331, 0.2062, 0.5276, 0.3847, 3.914, 0.1542, 0.1942, 5.0, 0.4315, 0.8459, 0.2159, 0.03481, 0.6, 3.707, 2.116, 80.0, 0.03954, 0.75, 1.0, 0.0, 59.28, 0.04487, 0.2372, 0.1282, 0.5897, 1.443
36.0, 4.0, 41.0, 4.0, 3.0, 7.361, 0.2224, 6.216, 2.0, 0.2923, 0.04601, 0.1962, 0.5007, 0.2312, 4.581, 0.3145, 0.4728, 2.0, 0.7057, 0.5289, 0.0, 0.03483, 0.4, 5.743, 1.758, 74.0, 0.04524, 0.6667, 1.0, 0.0, 193.8, 0.1177, 0.1676, 0.2026, 0.5121, 0.0
22.0, 3.0, 43.0, 4.0, 2.0, 6.239, -0.09725, 10.04, 0.0, 0.4259, 0.2407, 0.1111, 0.3025, 0.1626, 2.48, 0.1528, 0.3554, 2.0, 1.038, 0.8733, 0.06742, 0.03998, 0.6667, 2.5, 0.8021, 50.0, 0.06675, 1.0, 1.0, 0.0, 84.92, 0.1337, 0.1733, 0.0297, 0.6634, 0.6842
63.0, 0.0, 77.0, 3.0, 3.0, 17.8, -0.07252, 5.245, 12.0, 0.5785, 0.03045, 0.02404, 0.1042, 0.157, 3.713, 0.05234, 0.1266, 5.0, 0.7211, 0.5182, 0.01872, 0.02176, 0.4286, 16.82, 7.397, 110.0, 0.02295, 0.2857, 1.0, 0.0, 321.6, 0.2375, 0.1877, 0.02175, 0.553, 0.5018
39.0, 1.0, 60.0, 3.0, 3.0, 10.65, 0.03279, 6.131, 1.0, 0.347, 0.07187, 0.2526, 0.4107, 0.3164, 3.821, 0.09502, 0.1975, 5.0, 1.55, 1.285, 0.0296, 0.02842, 0.6667, 3.458, 1.319, 76.0, 0.03341, 1.0, 1.0, 0.0, 139.0, 0.2075, 0.1186, 0.07547, 0.5984, 1.359
43.0, 1.0, 57.0, 6.0, 2.0, 11.1, 0.1391, 5.45, 0.0, 0.6046, 0.1571, 0.04009, 0.1528, 0.1825, 3.265, 0.156, 0.2423, 2.0, 0.231, 0.2812, 0.3302, 0.02425, 0.2, 17.2, 4.065, 53.0, 0.02727, 0.25, 1.0, 0.0, 405.8, 0.09439, 0.2927, 0.1669, 0.446, 1.128
27.0, 3.0, 67.0, 3.0, 3.0, 23.33, 1.487, 4.867, 12.0, 0.6, 0.01524, 0.0819, 0.2514, 0.3366, 2.417, 0.06622, 0.1265, 2.0, 0.7597, 0.74, 0.0, 0.0273, 0.4, 4.014, 2.012, 75.0, 0.04974, 0.6667, 1.0, 0.0, 371.2, 0.05509, 0.01557, 0.04072, 0.8886, 0.4243
32.0, 1.0, 40.0, 4.0, 2.0, 8.538, 0.611, 5.026, 2.0, 0.3507, 0.003356, 0.2114, 0.4295, 0.4579, 4.586, 0.1693, 0.07241, 2.0, 0.5527, 0.4364, 0.0, 0.03097, 0.4, 9.89, 2.464, 73.0, 0.02811, 0.3333, 1.0, 0.0, 82.02, 0.2113, 0.2077, 0.3134, 0.2676, 0.1543
27.0, 3.0, 41.0, 6.0, 2.0, 7.206, -0.4445, 6.418, 2.0, 0.5013, 0.1285, 0.1688, 0.4207, 0.4075, 4.094, 0.1951, 0.2656, 3.0, 1.036, 0.8826, 0.0, 0.03358, 0.6, 4.327, 1.376, 97.0, 0.0381, 0.5, 1.0, 0.0, 55.64, 0.07937, 0.1778, 0.1016, 0.6413, 1.291
53.0, 0.0, 65.0, 4.0, 2.0, 12.43, -0.04398, 5.391, 2.0, 0.2597, 0.02059, 0.2368, 0.6098, 0.4591, 4.269, 0.1451, 0.1959, 2.0, 0.3965, 0.2822, 0.04906, 0.02486, 0.3, 17.53, 6.121, 150.0, 0.02156, 0.3077, 1.0, 0.0, 182.5, 0.1201, 0.1657, 0.1648, 0.5493, 0.3947
35.0, 2.0, 53.0, 4.0, 2.0, 8.665, 0.004855, 8.295, 7.0, 0.5709, 0.006112, 0.003667, 0.0868, 0.02091, 1.938, 0.2092, 0.2614, 2.0, 0.5698, 0.3439, 0.0, 0.02694, 0.1667, 8.45, 2.87, 58.0, 0.04828, 1.0, 1.0, 0.0, 500.7, 0.04869, 0.03995, 0.1099, 0.8015, 0.06419
44.0, 1.0, 52.0, 4.0, 2.0, 8.381, -0.2786, 5.633, 2.0, 0.5023, 0.08016, 0.08247, 0.2509, 0.3505, 3.348, 0.1444, 0.1812, 3.0, 0.9517, 0.5309, 5.678E-4, 0.04178, 0.6667, 13.69, 3.524, 49.0, 0.03505, 0.5, 1.0, 0.0, 411.7, 0.1011, 0.2441, 0.05867, 0.5961, 0.8025
31.0, 2.0, 50.0, 3.0, 2.0, 9.345, -0.04205, 6.269, 7.0, 0.5052, 0.07317, 0.0662, 0.1289, 0.4173, 4.248, 0.25, 0.3417, 3.0, 0.8419, 0.8995, 0.0, 0.03542, 0.6, 4.584, 1.941, 76.0, 0.04627, 0.6667, 1.0, 0.0, 69.04, 0.02092, 0.1088, 0.1548, 0.7155, 0.4207
59.0, 0.0, 61.0, 3.0, 3.0, 11.07, -0.1181, 5.757, 0.0, 0.588, 0.191, 0.1507, 0.2106, 0.2504, 2.937, 0.278, 0.3832, 3.0, 0.7287, 0.6146, 0.0207, 0.03253, 0.4, 8.04, 3.645, 58.0, 0.03599, 0.5, 1.0, 0.0, 177.0, 0.2504, 0.2006, 0.1493, 0.3997, 1.227
34.0, 3.0, 45.0, 4.0, 2.0, 8.207, -0.57, 5.408, 2.0, 0.4435, 0.1812, 0.1318, 0.4, 0.3161, 3.825, 0.1435, 0.1976, 3.0, 1.08, 0.7773, 0.0, 0.03803, 0.4, 9.6, 2.567, 40.0, 0.0322, 0.4286, 1.0, 0.0, 225.0, 0.06939, 0.2139, 0.1404, 0.5763, 2.405
28.0, 2.0, 35.0, 6.0, 2.0, 6.282, -0.4895, 6.684, 2.0, 0.3508, 0.1453, 0.1221, 0.4709, 0.263, 3.28, 0.1619, 0.1842, 2.0, 0.4318, 0.4641, 0.0, 0.02427, 0.3, 7.238, 4.182, 119.0, 0.03487, 0.2, 1.0, 0.0, 187.6, 0.2867, 0.2785, 0.01449, 0.4203, 1.032
49.0, 3.0, 55.0, 2.0, 2.0, 9.369, -0.1045, 6.861, 0.0, 0.5414, 0.1678, 0.1466, 0.2943, 0.3608, 4.563, 0.1574, 0.2278, 4.0, 0.3954, 0.4477, 0.05564, 0.02435, 0.4, 6.586, 2.088, 75.0, 0.03141, 0.3333, 1.0, 0.0, 44.99, 0.04467, 0.2698, 0.1323, 0.5533, 0.6362
63.0, 0.0, 69.0, 4.0, 2.0, 16.16, 0.5463, 4.971, 2.0, 0.2707, 0.00545, 0.2625, 0.6594, 0.4082, 4.355, 0.05178, 0.08608, 2.0, 0.3987, 0.637, 0.4629, 0.03139, 0.4, 13.13, 3.561, 70.0, 0.0285, 0.3333, 1.0, 0.0, 149.6, 0.5658, 0.1345, 0.152, 0.1477, 1.374
35.0, 3.0, 52.0, 2.0, 2.0, 9.759, 0.2504, 5.311, 0.0, 0.6384, 0.3868, 0.1604, 0.2358, 0.3179, 3.132, 0.1506, 0.2581, 2.0, 1.271, 0.8771, 0.03018, 0.04482, 0.6667, 7.527, 3.186, 73.0, 0.04479, 0.6667, 1.0, 0.0, 43.71, 0.04444, 0.2, 0.1472, 0.6083, 1.89
15.0, 5.0, 35.0, 3.0, 2.0, 8.477, -1.314, 6.582, 12.0, 0.8645, 0.03738, 0.0, 0.0, 0.1942, 2.586, 0.08292, 0.2113, 2.0, 1.222, 1.229, 0.0, 0.03636, 0.4, 4.682, 1.539, 58.0, 0.04036, 0.5, 1.0, 0.0, 210.7, 0.03531, 0.2989, 0.02018, 0.6456, 0.4483
54.0, 0.0, 62.0, 3.0, 3.0, 13.13, -0.3763, 5.482, 1.0, 0.3909, 0.04762, 0.256, 0.4048, 0.4083, 3.697, 0.1662, 0.3371, 3.0, 1.057, 0.9411, 0.0, 0.03248, 0.5, 3.84, 1.732, 66.0, 0.05482, 1.0, 1.0, 0.0, 119.1, 0.05756, 0.1339, 0.1874, 0.6212, 1.252
37.0, 1.0, 45.0, 7.0, 2.0, 9.407, -0.2869, 5.228, 2.0, 0.452, 0.1173, 0.104, 0.344, 0.4486, 5.75, 0.263, 0.2975, 3.0, 0.9303, 0.457, 0.01254, 0.03788, 0.4, 7.348, 0.7219, 72.0, 0.03514, 0.3333, 1.0, 0.0, 145.1, 0.05752, 0.1858, 0.1372, 0.6195, 0.5806
