,Unnamed: 0,Composer,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
11,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv144_(mccloskey).mid,5.0,30.0,2.0,43.0,6.0,2.0,8.293,-0.331,5.749,2.0,0.2716,0.05038,0.2075,0.6012,0.4883,1.479,4.202,5.1370000000000005,0.1099,0.1979,0.0,4.0,2.0,1.0,1.06,0.8935,0.00463,0.034789999999999995,0.4,6.165,1.709,68.0,0.03477,0.4,1.0,52.96,0.038689999999999995,0.1265,0.1734,0.6615,0.0
12,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv145_(c)maclean.mid,5.0,43.0,0.0,48.0,6.0,2.0,10.41,-0.1988,5.147,2.0,0.3167,0.07153999999999999,0.20600000000000002,0.601,0.5045,1.3430000000000002,3.909,4.25,0.12,0.2309,0.0037530000000000003,4.0,4.0,2.0,0.5797,0.8723,0.05942000000000001,0.02428,0.4,7.06,2.537,73.0,0.03175,0.3333,3.0,153.6,0.02436,0.1286,0.1337,0.7134,0.011009999999999999
13,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv145_(c)mccoy.mid,5.0,51.0,0.0,60.0,7.0,2.0,9.59,-0.3887,6.19,2.0,0.3343,0.02011,0.1506,0.4808,0.4996,1.6669999999999998,8.495,4.734,0.1104,0.2175,0.005872,4.0,4.0,1.0,0.4898,0.7697,0.07109,0.0215,0.3,15.0,6.1979999999999995,187.0,0.02424,0.125,7.0,454.6,0.1044,0.17,0.10300000000000001,0.6226,0.0
14,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv146_(c)maclean.mid,5.0,41.0,0.0,45.0,6.0,2.0,9.137,0.024480000000000002,5.281000000000001,2.0,0.3084,0.09652999999999999,0.2511,0.5888,0.5162,1.436,4.398,4.062,0.1481,0.2727,0.007529999999999999,4.0,4.0,1.0,0.5820000000000001,0.8296,0.09675,0.02367,0.2,9.222000000000001,5.109,41.0,0.02868,0.4286,4.0,295.3,0.07586,0.08692000000000001,0.1189,0.7184,0.2389
15,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv147_(c)maclean.mid,5.0,31.0,1.0,47.0,7.0,2.0,8.702,-0.5522,5.875,2.0,0.2251,0.02922,0.2709,0.6454,0.4815,1.5590000000000002,4.302,5.061,0.1023,0.2422,0.002573,4.0,4.0,1.0,1.0090000000000001,1.084,0.055720000000000006,0.02858,0.4,6.5489999999999995,3.948,76.0,0.03639,0.6667,3.0,79.98,0.03525,0.12300000000000001,0.1598,0.682,0.020309999999999998
16,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv148_(c)maclean.mid,5.0,44.0,1.0,46.0,6.0,2.0,8.96,-0.4768,5.55,2.0,0.2932,0.08843,0.2588,0.5993,0.5076,1.53,4.394,4.936,0.1169,0.2676,0.00105,4.0,4.0,2.0,0.9836,1.351,0.0322,0.02429,0.3,7.069,4.419,85.0,0.029189999999999997,0.2857,4.0,209.3,0.04917,0.1322,0.1308,0.6879,0.1113
17,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv149_(c)maclean.mid,5.0,46.0,0.0,48.0,4.0,2.0,9.708,-0.5103,5.34,2.0,0.262,0.08819,0.2583,0.6406,0.5188,1.63,4.574,4.513,0.109,0.2602,0.0008172,12.0,8.0,3.0,1.148,1.393,0.07264,0.02565,0.2,7.711,3.688,70.0,0.023280000000000002,0.1667,5.0,336.0,0.07502,0.1122,0.08521000000000001,0.7276,0.1539
18,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv150_(c)maclean.mid,5.0,42.0,0.0,46.0,4.0,2.0,9.089,-0.2108,5.382000000000001,2.0,0.3437,0.061689999999999995,0.2092,0.5047,0.4942,1.3980000000000001,4.567,4.883,0.07427,0.1712,0.001895,4.0,4.0,3.0,0.8227,0.6961,0.06838999999999999,0.02864,0.4,9.867,5.632000000000001,55.0,0.03057,0.5,4.0,169.1,0.06799,0.1331,0.1709,0.628,0.2844
19,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv151_(c)maclean.mid,5.0,39.0,0.0,44.0,7.0,2.0,8.857999999999999,0.05027,5.369,2.0,0.3354,0.07781,0.2167,0.5078,0.513,1.483,5.309,4.325,0.1203,0.2209,1.073e-05,4.0,4.0,1.0,0.6227,0.763,0.060770000000000005,0.02254,0.2,9.541,4.769,73.0,0.02926,0.3333,3.0,131.7,0.03363,0.09362000000000001,0.09015,0.7826,0.04188
20,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv152_(c)maclean.mid,5.0,42.0,1.0,45.0,6.0,2.0,8.847999999999999,-0.4842,5.591,2.0,0.1513,0.0242,0.3097,0.7725,0.4977,2.05,5.194,5.6370000000000005,0.11699999999999999,0.3021,0.0,4.0,4.0,3.0,0.895,0.9552,0.02362,0.026680000000000002,0.3333,7.449,3.179,72.0,0.0342,0.5,2.0,76.34,0.05685,0.09815,0.1822,0.6628,0.1437
