,Unnamed: 0,Unnamed: 0.1,Composer,clusters,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Kurtosis,Chromatic_Motion,Stepwise_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Standard_Triads,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Rhythmic_Value_Variability,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Number_of_Pitched_Instruments,Maximum_Number_of_Independent_Voices,Variability_of_Number_of_Independent_Voices,Voice_Equality_-_Number_of_Notes,Voice_Separation,Parallel_Motion,Dynamic_Range,Variation_of_Dynamics
2,2,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105_(c)lefeldt.mid,6.0,0,85.0,3.0,1.0,12.32,3.418,-0.2106,5.952000000000001,0.0626,0.1204,2.016,21.01,7.115,2.629,3.5460000000000003,0.1971,0.4083,0.2132,0.2119,0.3422,0.02364,1.0,8.0,2.0,2131.0,8.0,9.0,0.616,5.0,0.02454,0.4,23.73,220.4,9.669,4.64,1.0,1.0,0.0,0.0,0.0,0.04526,99.0,15.21
3,3,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105b_(c)lefeldt.mid,6.0,0,67.0,3.0,2.0,12.09,3.429,-0.2051,5.631,0.05027,0.1443,2.113,20.81,5.797999999999999,2.798,3.571,0.172,0.3676,0.2988,0.1721,0.4942,0.007479,1.0,8.0,2.0,1566.0,7.0,8.0,0.5888,5.0,0.02602,0.4,10.86,192.5,8.135,2.829,1.0,1.0,0.0,0.0,0.0,0.042710000000000005,79.0,13.35
4,4,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_116_(c)lefeldt.mid,6.0,0,58.0,3.0,2.0,10.84,3.4210000000000003,-0.2768,5.819,0.1858,0.3279,2.085,17.38,6.875,2.5540000000000003,3.379,0.2087,0.4284,0.206,0.2405,0.3232,0.001836,1.0,8.0,3.0,1719.0,8.0,9.0,0.5702,5.0,0.02481,0.4,12.06,228.5,7.522,2.012,1.0,1.0,0.0,0.0,0.0,0.05535,83.0,12.21
5,5,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_26_(c)lefeldt.mid,6.0,0,74.0,3.0,2.0,12.06,3.502,0.1059,5.9689999999999985,0.1124,0.3044,2.247,13.6,6.367000000000001,2.603,3.403,0.1845,0.3954,0.2487,0.2066,0.3166,0.06149,1.0,8.0,4.0,1976.0,7.0,8.0,0.4992,3.0,0.0237,0.4,12.3,279.4,7.072,2.01,1.0,2.0,0.3647,69.3,18.0,0.05272,95.0,16.41
6,6,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_26_(c)oguri.mid,6.0,0,74.0,3.0,2.0,12.03,3.505,0.09958,5.988,0.04517,0.1208,1.592,18.7,8.922,1.994,2.314,0.1505,0.3751,0.2165,0.2253,0.2027,0.004985,4.0,4.0,1.0,1971.0,8.0,9.0,0.4867,0.0,0.006558,0.2353,0.0,296.0,6.659,2.024,1.0,1.0,0.0,0.0,0.0,0.03918,89.0,15.2
7,7,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_41_(c)lefeldt.mid,6.0,0,74.0,6.0,2.0,13.03,3.477,0.1593,5.726,0.0818,0.2152,2.71,23.02,6.166,2.6260000000000003,3.754,0.2007,0.4151,0.1788,0.2768,0.3701,0.02684,1.0,8.0,7.0,3577.0,9.0,10.0,0.6349,2.0,0.02118,0.4,19.89,389.4,9.186,3.469,1.0,1.0,0.0,0.0,0.0,0.02789,86.0,14.02
8,8,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_42_(c)lefeldt.mid,6.0,0,73.0,2.0,2.0,13.46,3.562,0.01522,5.737,0.1338,0.3321,2.43,20.99,7.188,2.672,3.357,0.1524,0.3869,0.2539,0.2061,0.4061,0.04149,6.0,8.0,4.0,3456.0,9.0,9.0,0.4963,0.0,0.01502,0.4,25.85,481.1,7.184,3.506,1.0,1.0,0.0,0.0,0.0,0.0314,90.0,14.8
9,9,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_44_(c)lefeldt.mid,6.0,0,72.0,2.0,2.0,11.8,3.443,0.1189,5.7010000000000005,0.05322,0.1391,3.324,26.93,6.098,2.719,3.6,0.1652,0.3885,0.2117,0.3104,0.3518,0.04597,1.0,8.0,4.0,1608.0,10.0,11.0,0.7363,3.0,0.02164,0.3,15.56,206.3,7.792999999999998,2.522,1.0,1.0,0.0,0.0,0.0,0.03508,69.0,12.74
10,10,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_66_(c)lefeldt.mid,6.0,0,74.0,2.0,2.0,14.22,3.463,0.2509,5.757999999999999,0.03704,0.08900000000000001,2.236,23.35,6.4670000000000005,2.633,3.5660000000000003,0.2072,0.3858,0.2787,0.1916,0.417,0.02506,1.0,8.0,5.0,3104.0,9.0,10.0,0.5474,5.0,0.02542,0.4,22.7,367.9,8.437999999999999,3.313,1.0,1.0,0.0,0.0,0.0,0.05639,97.0,17.25
11,11,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_70_(c)lefeldt.mid,6.0,1,73.0,3.0,1.0,12.85,3.398,0.1772,5.584,0.09752,0.2727,2.92,26.85,6.6720000000000015,2.698,3.346,0.1579,0.404,0.304,0.1509,0.37,0.03762,1.0,8.0,2.0,1764.0,11.0,10.0,0.7331,5.0,0.02227,0.4,12.56,225.3,7.831,2.352,1.0,1.0,0.0,0.0,0.0,0.03778,75.0,13.97
12,12,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_90_(c)lefeldt.mid,6.0,0,68.0,2.0,2.0,12.89,3.409,-0.07072,5.575,0.1065,0.1932,2.583,24.7,7.629,2.708,3.382,0.1587,0.3307,0.2698,0.1595,0.4402,0.03059,1.0,8.0,3.0,1185.0,11.0,12.0,1.167,5.0,0.03134,0.6,26.45,175.5,6.752999999999999,2.793,1.0,1.0,0.0,0.0,0.0,0.03284,70.0,12.92
13,13,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_96_(c)lefeldt.mid,6.0,1,76.0,3.0,2.0,11.88,3.345,0.04499,6.091,0.1037,0.2495,2.656,24.29,6.882999999999999,2.549,3.208,0.2282,0.4201,0.2874,0.1828,0.3828,0.01317,1.0,8.0,2.0,1763.0,8.0,9.0,0.5502,5.0,0.02515,0.3,21.51,204.4,8.627,3.197,1.0,1.0,0.0,0.0,0.0,0.08129,86.0,14.71
